column,dtype,n_unique,n_missing,sample_values
batch,int64,48,0,"27, 31, 34, 43, 28, 10, 19, 11, 32, 24, 42, 40, 44, 38, 12, 7, 20, 14, 5, 22"
gene,category,2058,0,"'NAF1', 'BUB1', 'UBL5', 'C9orf16', 'TIMM9', 'SMG5', 'ZNF687', 'MED9', 'RPL3', 'PSTK', 'RNF8', 'MED1', 'HNRNPH1', 'RPL10A', 'SLC35B1', 'LIN54', 'EIF1AX', 'OR7A17', 'NUP98', 'OIP5'"
gene_id,category,2058,0,"'ENSG00000145414', 'ENSG00000169679', 'ENSG00000198258', 'ENSG00000171159', 'ENSG00000100575', 'ENSG00000198952', 'ENSG00000143373', 'ENSG00000141026', 'ENSG00000100316', 'ENSG00000179988', 'ENSG00000 ..."
transcript,category,58,0,"'P1P2', 'P1', 'P2', 'ENST00000327462.2', 'ENST00000431443.2', 'non-targeting', 'ENST00000299687.5', 'ENST00000393695.3', 'ENST00000391417.4', 'ENST00000326183.3', 'ENST00000380743.4', 'ENST00000248058 ..."
gene_transcript,category,2273,0,"'5449_NAF1_P1P2_ENSG00000145414', '935_BUB1_P1P2_ENSG00000169679', '9534_UBL5_P1P2_ENSG00000198258', '1131_C9orf16_P1P2_ENSG00000171159', '8927_TIMM9_P1P2_ENSG00000100575', '8166_SMG5_P1P2_ENSG0000019 ..."
guide_id,category,2273,0,"'NAF1_+_164087918.23-P1P2|NAF1_-_164087674.23-P1P2', 'BUB1_-_111435363.23-P1P2|BUB1_-_111435372.23-P1P2', 'UBL5_-_9938639.23-P1P2|UBL5_+_9938801.23-P1P2', 'C9orf16_+_130922603.23-P1P2|C9orf16_+_130922 ..."
percent_mito,float64,298645,0,"0.11208253, 0.17989518, 0.10528749, 0.09935855, 0.13762341, 0.0794905, 0.11150424, 0.15069756, 0.1023873, 0.0958043, 0.10534351, 0.13097346, 0.16347492, 0.03849825, 0.1261506, 0.080879256, 0.10370244, ..."
UMI_count,float64,28925,0,"11438.0, 5342.0, 17305.0, 30244.0, 8407.0, 20883.0, 19219.0, 7598.0, 15373.0, 20521.0, 9825.0, 8475.0, 9347.0, 9429.0, 15101.0, 16605.0, 17637.0, 20061.0, 15390.0, 22911.0"
z_gemgroup_UMI,float64,252562,0,"0.013046864, -1.5222473, 0.38415727, 3.721912, -0.9753715, 1.7325609, 0.71445787, -1.4550962, 0.14253426, 0.9766746, -0.2561601, -1.2175057, -0.57243305, -1.032182, -0.033450097, 0.60220295, 0.2483975 ..."
core_scale_factor,float64,48,0,"0.8132525, 0.8441066, 1.0915369, 0.9482775, 0.86894244, 0.9570653, 1.1233844, 1.0501878, 0.76136494, 1.0526206, 0.9633105, 1.1577376, 0.9733523, 1.1879263, 1.2328124, 1.0170863, 1.0303375, 1.0500548,  ..."
core_adjusted_UMI_count,float64,250864,0,"14064.513, 6328.5845, 15853.793, 31893.62, 9674.9795, 21819.828, 17108.125, 6960.8276, 14638.334, 18267.123, 12904.456, 8069.985, 11073.246, 8957.643, 13834.622, 17237.434, 15234.021, 17327.76, 15811. ..."
disease,category,1,0,'chronic myeloid leukemia'
cancer,bool,1,0,True
cell_line,category,1,0,'K562'
sex,category,1,0,'Female'
age,int64,1,0,53
perturbation,category,2058,0,"'NAF1', 'BUB1', 'UBL5', 'C9orf16', 'TIMM9', 'SMG5', 'ZNF687', 'MED9', 'RPL3', 'PSTK', 'RNF8', 'MED1', 'HNRNPH1', 'RPL10A', 'SLC35B1', 'LIN54', 'EIF1AX', 'OR7A17', 'NUP98', 'OIP5'"
organism,category,1,0,'human'
perturbation_type,category,1,0,'CRISPR'
tissue_type,category,1,0,'cell_line'
ncounts,float64,28682,0,"11324.0, 5257.0, 17135.0, 29717.0, 8261.0, 20566.0, 18927.0, 7437.0, 15164.0, 20313.0, 9683.0, 8319.0, 9188.0, 9260.0, 14822.0, 16403.0, 17378.0, 19839.0, 14999.0, 22658.0"
ngenes,int64,5039,0,"3332, 2192, 4002, 5358, 2944, 4641, 4520, 2860, 3913, 4216, 3125, 3056, 2794, 3238, 3712, 4136, 3972, 4406, 4261, 4524"
nperts,int64,2,0,"1, 0"
percent_ribo,float64,298873,0,"0.22536206, 0.12973179, 0.23682521, 0.24682842, 0.18339184, 0.21073617, 0.17689015, 0.15019497, 0.22170931, 0.25737214, 0.21129815, 0.15049885, 0.2042882, 0.1812095, 0.20058022, 0.21380235, 0.25733685 ..."
