target_gene,n_pseudobulk_samples,ss_target,ss_guide_within_target,ss_batch_within_target,perturbation_quality
MED9,6,969650.8162360704,1.0131821349966407e-27,55430.592919756884,0.9459256675375618
MED30,35,4118134.0120411636,1.5417903885833876e-26,424257.82724758313,0.906600345752203
SUPT5H,42,4856191.177885455,8.267715592732575e-27,510086.13809912594,0.9049459973714502
SUPT6H,35,4650224.039714583,5.419264026068255e-27,491476.26599894854,0.9044136692578498
PNPT1,7,1035837.3029112421,5.7577596372680855e-27,111827.61318160951,0.9025607460735846
EIF2B3,4,169418.4168923481,0.0,18399.454228903247,0.9020356576343849
MED12,46,3959247.1593750124,2.0856804720451777e-26,491480.5051496585,0.8895729996991071
PDCD11,4,243971.2455186531,0.0,33476.68841919155,0.8793406462104304
HSPA9,46,6124509.434286711,2.903802857935936e-26,873914.0701992672,0.8751270097273922
POLRMT,19,3412710.8644467774,1.0395162434630167e-26,488367.7123296206,0.8748121313841424
MED14,4,126016.8467250627,0.0,20759.042376979967,0.8585664000812306
PHB2,46,3687841.6034870576,3.0146290531064406e-26,655436.3245590592,0.8490917838053444
INTS2,42,3342229.5799624883,1.6984090119527194e-26,630351.0805614642,0.841324535754467
PPRC1,6,306758.9829398355,3.812046045826169e-27,59733.65812367136,0.8370126670201802
MED19,48,2973345.3040402145,4.319374470148481e-26,599335.1604380938,0.8322449582611608
TMX2,6,212869.37737003266,2.6264132787883034e-27,43720.18935246344,0.8296104167019884
POLR3B,5,142822.52677683352,3.1222759294572908e-27,30014.92229730456,0.8263401684178424
MED7,36,2681985.3626344316,1.7460569280345845e-26,564272.5978790929,0.826177523553972
SEC61G,4,115860.66346701242,0.0,24719.47683783013,0.8241609605437374
TEFM,20,2209640.107038166,1.1412703783027072e-26,479927.72471261304,0.8215595386563636
PHB,33,3488047.4350580815,1.5350699603151925e-26,807031.5072990251,0.8121032190257877
TOMM40,5,359040.0646267011,3.8554405777270765e-27,85567.74696993869,0.8075433117950522
RPS10,4,147973.8891861534,0.0,37114.27166178613,0.7994778731834846
MED1,25,1847479.6570230024,2.586142182997053e-26,465059.23245588696,0.7988966868528278
MED22,36,2547203.688677185,2.3510645992000545e-26,666235.223701731,0.7926721988909646
MYBL2,4,919257.6247559125,0.0,240816.72482093354,0.7924126803521042
SSBP1,4,435160.4111587907,0.0,117903.89623684942,0.7868170217093658
MED17,14,961189.2759331324,4.9094655066008954e-27,261257.5805871508,0.786283077097662
MED6,31,1851090.5302776457,3.030405104441797e-26,507530.3195832577,0.7848190311667987
MVD,6,465831.45006044785,7.355711984453843e-27,128046.3582934724,0.7843893870215749
RPS13,12,936624.3340802091,5.071164933862903e-27,262418.1451560192,0.7811435793974743
PUF60,4,103030.00910907758,0.0,30404.399481960194,0.7721397366465913
TIMM23B,44,2358878.9281717096,2.7617875306468275e-26,707413.7942907448,0.7692934568482293
MCM2,7,731238.7608040038,1.8745564965217076e-26,221824.70325997865,0.7672508582858792
POLD1,19,4575178.6912973495,5.78509386368425e-26,1392953.1288599153,0.7666014808595145
POLR2G,11,532931.3312378284,1.3366145325894814e-26,163137.6147148688,0.7656300921576307
DTYMK,5,389477.8827339953,9.526135311138091e-27,120554.22585068748,0.7636340461285461
TOP1,4,156172.03842835114,0.0,51178.553903674314,0.7531786462335089
RPS18,7,470384.32687465136,3.603571306301261e-27,154345.8767487853,0.752939947750919
TAF8,4,158306.93284495216,0.0,52097.97631992024,0.7523918214327571
DNAJC19,46,2534755.456191978,3.0099322184332854e-26,835882.9906784373,0.7520104858904277
INTS8,41,1757300.0660873982,2.0751588691867457e-26,584092.3217311845,0.7505363369377959
TWISTNB,15,986382.6420395599,5.694548997565757e-27,350833.2535252665,0.737639034437982
TBCE,6,463806.5891694472,8.796658170315392e-27,170143.95678384183,0.7316132025282955
CMTR1,7,309097.57479328825,5.014255917822609e-27,116512.18714906601,0.7262464408303522
PRELID3B,33,1813028.3048408038,2.883534916687876e-26,688811.6932739265,0.7246779595046116
RPS6,15,1033228.9553245674,8.062688651847724e-27,392635.3803640496,0.7246334237159894
AQR,4,370524.6655951774,0.0,143741.20061208084,0.720492433860756
AHCY,6,173189.30117431073,8.25348615797225e-27,69639.36899272022,0.7132160343965216
DNAJA3,9,729515.1953613097,6.345303192589473e-27,293964.0503585971,0.7127796664290684
ATL2,4,85525.56705766146,0.0,34497.59472512268,0.7125755211518603
POLR1B,14,528647.7823388858,9.727819909969768e-27,214414.67916863976,0.7114446089314819
CENPC,4,100143.40109884882,0.0,40770.604031010786,0.7106703198632488
CTR9,24,1122821.513716554,9.336288380814457e-27,457888.9557370569,0.7103271189850909
RPL36,22,1214315.5452687892,3.55214917847726e-26,496431.29085923854,0.7098160403541516
RPL23A,4,313793.5726503563,0.0,131308.90900084694,0.7049917391749235
LETM1,7,207245.2193216666,6.195461147888712e-27,88556.01442875924,0.7006232418101543
PAF1,31,2061048.364471667,1.8461209486337839e-26,894329.3332707621,0.6973891580917296
TAF2,9,461399.7417877631,1.2630977095741594e-26,204868.99052552858,0.6925129747358526
RAD51,27,3915500.5567080667,6.332105523859063e-26,1760301.637135912,0.689858529769563
MT2A,4,115141.2265757606,0.0,51977.23042463889,0.6889797132071735
RPL36A,4,188365.1437685101,0.0,86136.66803768385,0.6862072877737552
RPS10-NUDT3,11,358147.9789958061,9.244787337437635e-27,163983.8161913507,0.6859340540014977
CRKL,4,231033.00696187041,0.0,106433.48013513212,0.6846102229269998
RPL14,23,1281307.1405324356,2.2653997163840364e-26,592311.6766558017,0.6838675662188902
MRPL22,4,58741.420593689996,0.0,27525.298795006704,0.6809279524009201
TAF6,5,160287.33560393378,2.663802884703116e-27,75132.4896414738,0.6808574232728539
NCBP2,48,1480771.1502606825,4.7314785759931685e-26,706571.5838279676,0.6769726239896472
NOL6,6,276707.22316009406,2.4323990363224113e-27,132064.1631946734,0.676924149773887
LONP1,7,436804.89416457067,9.455979859308694e-27,210637.13051597888,0.6746625605282449
RPL17,11,906644.7937177124,9.840007905630599e-27,437600.9483711171,0.6744635785930576
RPL23,44,2251030.827978445,4.180182602794324e-26,1086900.8078534252,0.6743789488718661
WDR33,4,91962.74973056589,0.0,45233.784224787436,0.6702993660211019
NFATC2IP,5,233620.43336880227,9.091923128856165e-27,116553.60906304028,0.6671552001581439
MED10,47,1584160.1738334121,3.671721120904684e-26,792261.2683198275,0.6666158391493171
FASTKD5,15,816370.9351514861,1.718231664246082e-26,410427.28647396446,0.6654484174828951
GTF2A1,5,148507.10093039088,4.112169434689263e-27,77091.5090437183,0.6582802125750434
PNO1,11,339282.9632533239,5.8685099665574094e-27,177731.56216789767,0.6562348765286693
PSMC4,20,895991.2147454014,1.5167309038879326e-26,472769.3780828079,0.6546003877084556
MED11,27,1063854.327847907,2.355750019758098e-26,567080.7018445835,0.652297184424627
OR1D2,6,99815.07582949288,6.621822139300559e-27,53437.081815564314,0.6513126951247997
HEATR1,27,1099278.324587575,2.2787162625762075e-26,594529.4307456058,0.6489982827899741
WDR18,4,81767.83526483501,0.0,44229.65789867706,0.648963985011365
MCM3,6,118237.03748651237,9.832539207303022e-27,64514.23908852531,0.6469833738095079
RPL26L1,8,499565.8445048103,0.0,273713.80178971833,0.646035165801499
POLR1C,6,153468.51599060162,5.33706409321514e-27,84818.12520051606,0.6440500198561793
GINS2,12,745021.4670389338,1.421227655744984e-26,413660.4113545189,0.6429905230518739
RPL31,35,1919116.1655746086,1.71600081316283e-26,1076834.8887744641,0.6405699328060528
POLR2I,25,904296.4621976367,1.1140330880238327e-26,507884.3415503541,0.6403545918465918
CCDC144A,4,92630.18752737073,0.0,52444.44644730886,0.6385002325322966
SPTSSA,5,183088.85441720003,9.980432901254238e-27,104185.37839210415,0.6373312796861126
RPL6,31,1695200.8815678933,2.9826194216476016e-26,973462.2473142508,0.6352247547550084
MRPL33,12,455907.5686358208,2.0597971789255755e-26,263432.6250093401,0.6337857562575084
INO80B,7,139750.31375166724,7.862275275571456e-27,81349.0288876001,0.6320702363175978
EIF2S1,22,1115884.515256985,1.6820369620143967e-26,651285.660612577,0.6314527771542419
DDX47,33,1124297.9425795642,4.380566375974512e-26,662432.6044503276,0.6292487384001472
UQCRFS1,6,570911.5438984081,1.1461568028192409e-26,337864.43689817376,0.6282203270799248
ADAT3,4,115465.06975319676,0.0,69861.33910647754,0.6230362443413273
RPL18,34,1328621.2972243193,2.868522667254894e-26,808814.472746575,0.621595893495509
POLA2,26,2781199.74374367,5.032581416058842e-26,1713171.3475614,0.6188184480636798
TRMT6,4,68687.74611110444,0.0,42690.79131260243,0.6167054057264383
MAX,16,762786.1667539808,0.0,475827.87459508853,0.6158384624181816
RPL19,29,1276573.7354090875,2.435890177335939e-26,817926.5765053247,0.6094884436862534
RFC1,13,1212911.9225416773,1.6401432526290823e-26,789818.2181242773,0.6056292347696709
POLR2C,20,695727.8179036116,9.183778095789735e-27,454289.84775663126,0.6049714179861607
PRPF40A,7,216706.8798579343,4.339317546730037e-27,141838.30898421828,0.6044060458815367
RPS4X,12,536401.1863139175,8.353416946185069e-27,351473.7679910998,0.6041404633761571
U2AF2,4,54967.337472235275,0.0,36024.871341305814,0.6040883960172122
GPN3,37,1275695.7413665173,3.301410987440095e-26,852676.8724562803,0.5993761304207085
RPS19,44,1592815.3554055905,2.9241343264716736e-26,1073718.0375941554,0.5973356116923536
RFC3,25,2725627.045162272,5.177975972773373e-26,1840517.6620803617,0.5969208642991521
DDX18,7,264716.70711536094,6.503873719170679e-27,179762.62060502797,0.5955658466120786
RPS3,32,1204899.7639409783,0.0,819436.9251370541,0.5952071957406156
GAB2,48,1043161.4331263304,4.579985909669642e-26,709462.2482554958,0.5951998961373542
PRIM2,12,1233360.6851786608,2.4449248390084797e-26,840434.3685530451,0.5947360530922671
BRCA1,4,155091.39797284073,0.0,107006.4807582391,0.5917308401109538
TSR2,46,1516781.980360197,3.004625109235985e-26,1047563.8519954567,0.5914888550608847
IFITM2,9,128290.44042049411,1.7975200489799995e-26,88955.11330378892,0.5905319497738204
SUGT1,6,185964.72951188096,1.0364955185783896e-26,129373.89329791228,0.5897302647384607
RACGAP1,15,6097715.104669263,7.582770297557692e-26,4248072.656372377,0.5893910879972788
RNF20,8,410399.82794978283,0.0,288543.2625395497,0.5871720223494311
NUP85,4,44185.15676094804,0.0,31262.02072223688,0.5856436017211603
PRIM1,15,904876.9635047559,2.0262192567771305e-26,645159.1868495622,0.583777974015582
TSEN2,16,595577.5758669609,0.0,424866.726944452,0.5836453535250213
FBL,6,174997.85379348943,5.74893888098876e-27,125023.61091481944,0.5832844458766586
DONSON,47,1881431.9940104808,1.157747441199114e-25,1348512.6195022261,0.5824966738251096
POLR2B,38,1136247.3323628244,4.5178788363986475e-26,814939.0071595821,0.582336658138425
UTP15,12,385077.63657506986,7.194769254278843e-27,276806.12478627684,0.5817904276470711
CHMP3,5,437500.84698439715,8.835087592226947e-27,317374.45703424345,0.5795670419410007
CYP4F11,6,184058.0547642131,9.466371042365606e-27,133967.449322755,0.5787524975163001
MRPS25,4,62362.231979365846,0.0,45552.379027165945,0.5778849721803772
POLR3H,4,27634.57783643902,0.0,20297.781062669284,0.5765328156414415
DMAP1,4,435006.26125676587,0.0,319617.99511259166,0.5764541194973837
TFDP1,14,979874.8329659147,2.873684906597746e-26,720873.0026961257,0.5761435131178541
GINS1,17,1718381.5591972847,3.056670419390278e-26,1266075.1520936312,0.5757770091609086
AAMP,6,108265.36087496084,8.370847132784712e-27,79999.4067730876,0.5750696863119791
RPL24,46,1700428.7651318721,7.864988107804141e-26,1257364.7080036069,0.5748977339277487
STARD7,6,188044.23752490975,4.403187861344935e-27,139602.5037028788,0.5739237229103905
MEPCE,4,54072.35764949185,0.0,41792.880144765135,0.5640455173703348
RPS7,32,1136033.1385144095,0.0,887742.6366582199,0.5613433822319102
CASP8AP2,25,1828288.7045603837,3.3698011811938927e-26,1431836.3308979906,0.5608032467083969
RPAP2,44,1362277.1751507823,4.042919861799052e-26,1078889.5719461371,0.5580434752238156
RPL15,13,540978.2255625242,6.729107818322355e-27,429182.47892043367,0.5576171278250605
NEDD1,6,305222.4697277777,1.0115160675697663e-26,243817.59638716592,0.555920211593225
CEBPZ,4,107554.73826117796,0.0,87809.44797992043,0.550534569977145
EIF3A,42,1354468.2264903958,4.317055659480246e-26,1106040.6298035837,0.5504829714494492
RPP30,4,49323.77046456661,0.0,40442.7133918857,0.5494675556574257
CDK1,37,2801000.905557931,6.924028211259599e-26,2302451.8744247505,0.5488442876446946
CTDP1,5,82563.42715116672,4.037108368629575e-27,68388.44048010484,0.5469520082576487
OR4N2,4,131038.02208039259,0.0,108745.29824111558,0.5464851429394386
SFPQ,32,753359.5219988597,0.0,627234.8160544515,0.5456776847724324
SPDYE2,6,95752.57343477127,14763.786048817814,65684.79146643156,0.5434276275637464
RFC5,7,475337.7690242516,1.861262740490576e-26,400959.4222250476,0.5424389964625848
CNOT1,32,1730505.85042656,0.0,1465168.6160534315,0.5415150599906684
NACA,40,969252.1471472532,1.2959924519365507e-26,821414.5738215107,0.5412800359761423
RPL26,22,846658.0217124171,2.0374925076175608e-26,738148.7770305541,0.5342342185709733
ATF5,4,115376.45765812913,0.0,101094.09057211067,0.5329891692028876
XPO1,20,659248.8877949227,2.528814957869657e-26,579510.0134046439,0.5321849854370623
POLE,14,831417.9231817002,3.065711576435519e-26,733065.8516384866,0.531432755368306
CDK9,6,76958.358212984,8.247621637093927e-27,68723.88480266406,0.5282617608016766
DOHH,11,262188.4199565159,7.16380374419358e-27,235733.10835373861,0.526565743895987
RPL38,14,618358.0235463879,1.0312411409616683e-26,557923.2995136067,0.525688890424429
SRRT,34,979248.0161616122,2.5596469833978456e-26,887066.4760560419,0.5246961432518362
TRAPPC1,4,77070.3758822343,0.0,69903.65860085246,0.5243808959405226
SMC4,32,3722045.2150313132,371434.8076845013,3022827.6217676965,0.5230303973601542
RPL4,39,1118845.425937219,3.3702948667029825e-26,1025201.2954112615,0.5218381739524457
WDR43,5,119479.5409306954,2.843699012649772e-27,109687.65477336083,0.5213640659328477
RPL34,36,1256922.8478892976,3.163838623791204e-26,1163345.8490011257,0.5193319442193342
RPL9,28,847796.9235357472,2.4349329935275138e-26,785132.7018632862,0.5191876675815554
HDAC7,12,1140652.5098615473,2.948144658022058e-26,1060253.8879783945,0.5182648889480396
RPS24,29,917504.3024517421,4.3238417519958263e-26,864701.663816174,0.5148138429662372
WDR75,12,286956.34134045837,1.1130141846932566e-26,271626.7917366205,0.5137218156941041
PPAN,5,69646.68856290952,4.360585963567001e-27,67229.5051219304,0.508829816843624
COX5B,6,57369.134055235925,7.963027811806176e-27,56152.45161963447,0.5053588153670002
MRPL55,14,436097.5010207854,2.799965399230082e-26,427414.32929147204,0.5050278244168198
