compartment,feature_type,channel,frac_compound,frac_source,frac_plate_within_source,frac_residual
Cells,Correlation,AGP,0.21026235524638817,0.0367182846052755,0.0037495219314745455,0.7460740354594395
Cells,Correlation,DNA,0.18866892351703823,0.04328042707017154,0.004659790691250442,0.758570180779579
Cells,Correlation,ER,0.17609855699717042,0.029918224451463665,0.002586325325499038,0.7994910584842698
Cells,Correlation,Mito,0.22380031322541805,0.019869696978067043,0.003236924227448556,0.7526668412475293
Cells,Granularity,AGP,0.3458676588280448,0.04144308717880307,0.0019052667241863021,0.6018329123328707
Cells,Granularity,DNA,0.33751879677719,0.03449497853468862,0.001594077138404109,0.6325173516338038
Cells,Granularity,ER,0.3038176351346198,0.03412264127224081,0.0026550493598442495,0.6585083360151118
Cells,Granularity,Mito,0.3107604813114363,0.03252252743137755,0.001975557190441169,0.6573838415361984
Cells,Granularity,RNA,0.3219777935630198,0.032747135968284505,0.0025838153430500126,0.6400065467430043
Cells,Intensity,AGP,0.2719761591242615,0.021137032444674204,0.003569165527405291,0.7081831106397537
Cells,Intensity,DNA,0.25965278306826267,0.03740352219765811,0.0030960486429445263,0.6927834343890448
Cells,Intensity,ER,0.25348771401190207,0.03606143585038938,0.004626659934757029,0.7070878542535923
Cells,Intensity,Mito,0.2166803817605773,0.042421618788763354,0.004752719209566978,0.735579739113673
Cells,Intensity,RNA,0.26442287204027537,0.027083154440222478,0.003231775206988067,0.709613616882061
Cells,RadialDistribution,AGP,0.2820492047040599,0.044414759733560696,0.002336920230979481,0.6724559369956364
Cells,RadialDistribution,DNA,0.16495051783661052,0.039391600315137734,0.003248850295957168,0.7920020200293131
Cells,RadialDistribution,ER,0.12411770350895203,0.051581661878083655,0.003046832626969512,0.8164742519534542
Cells,RadialDistribution,Mito,0.1896669992993025,0.05380452433044884,0.0015705053958740929,0.7503687187934507
Cells,RadialDistribution,RNA,0.15523798110876186,0.053525549598621214,0.0032539213217538743,0.7889744002688942
Cells,Texture,AGP,0.1601925762836767,0.05099824842259633,0.0019512302253362418,0.7837468717112184
Cells,Texture,DNA,0.24625233030112934,0.034984964567212784,0.005833684131223895,0.711358252200886
Cells,Texture,ER,0.17910277592036603,0.048644288554273406,0.0012597536882978486,0.7734737968141712
Cells,Texture,Mito,0.1939602882364872,0.055266852949918,0.0025592953503911107,0.7417527033655286
Cells,Texture,RNA,0.14343563145397564,0.04793849404068995,0.0010970543220390956,0.8059221726763977
Cytoplasm,Correlation,AGP,0.20195486228395504,0.04182065234153956,0.00474855132367778,0.7434656674876059
Cytoplasm,Correlation,DNA,0.130382422073962,0.0514627139050504,0.005981758251246153,0.7848788497348697
Cytoplasm,Correlation,ER,0.1617643687538285,0.041817964666585994,0.003491303709493979,0.7990015323418239
Cytoplasm,Correlation,Mito,0.24320411222393407,0.02779216642551735,0.0030866025376704333,0.7251165852949383
Cytoplasm,Granularity,AGP,0.32786564993752304,0.04429126748030873,0.0016407685558092304,0.6129711614675681
Cytoplasm,Granularity,DNA,0.2297040150918631,0.033946021710720975,0.002552319560426128,0.7242094895399014
Cytoplasm,Granularity,ER,0.29701015131072495,0.0394307917761782,0.0026285742603724535,0.658579152674229
Cytoplasm,Granularity,Mito,0.28765264137976354,0.030607802833186232,0.0023749348204229305,0.6669715797273132
Cytoplasm,Granularity,RNA,0.3298073460815468,0.037425266033679,0.0030598378813531664,0.6272118212261094
Cytoplasm,Intensity,AGP,0.2959088514054334,0.020267157200198446,0.00373810765223406,0.674110113034641
Cytoplasm,Intensity,DNA,0.22839258309629046,0.0343958946098388,0.002483363071313567,0.7119162587634463
Cytoplasm,Intensity,ER,0.25061097402327537,0.03501984282565562,0.0034139152033028394,0.7075207336593629
Cytoplasm,Intensity,Mito,0.2050551252694952,0.044490344620174746,0.003836773707289804,0.7477887704274684
Cytoplasm,Intensity,RNA,0.24627460763225192,0.031718103632159426,0.0032420424241809027,0.7280811987627898
Cytoplasm,RadialDistribution,AGP,0.3150914788957704,0.04745101845951011,0.002863593998800581,0.6402393176770176
Cytoplasm,RadialDistribution,DNA,0.23447407792989483,0.043184941934635394,0.0022534102160009445,0.7462860432117066
Cytoplasm,RadialDistribution,ER,0.14604084133944623,0.04541959624921808,0.00408113218090402,0.8002477376552918
Cytoplasm,RadialDistribution,Mito,0.1798419328234115,0.044417094593622614,0.0027030212680661525,0.7640568527096314
Cytoplasm,RadialDistribution,RNA,0.1749390156876346,0.05148701541241569,0.00428377578191329,0.7704927285163128
Cytoplasm,Texture,AGP,0.18498699318918815,0.047152274794871676,0.0024306891915972704,0.7656263971120647
Cytoplasm,Texture,DNA,0.21944497794209922,0.03933944803810434,0.004129206403808197,0.709431181826077
Cytoplasm,Texture,ER,0.20456198725855737,0.04842025061917404,0.0015381805100745836,0.744315874261539
Cytoplasm,Texture,Mito,0.19568089763370913,0.05441480141619148,0.0025544407092654327,0.7480955331276962
Cytoplasm,Texture,RNA,0.16945472516476193,0.04769863389588874,0.0014508325447117635,0.7791633824432013
Image,Granularity,AGP,0.13724522916749843,0.03419842227285874,0.002123775450249962,0.8247339923014514
Image,Granularity,DNA,0.2796896643529133,0.038230747338166296,0.0023917395575823613,0.6823171262578299
Image,Granularity,ER,0.24469079431926216,0.025336276671924528,0.002047932352670391,0.7264169120490815
Image,Granularity,Mito,0.21753439612696324,0.02746866131793791,0.0027950071558116886,0.739165300423948
Image,Granularity,RNA,0.2169807419949336,0.027320358419841484,0.0019391985234004675,0.7476438524729296
Image,Intensity,AGP,0.2038862947264702,0.034878581521512304,0.0027005059807793308,0.7063906909057527
Image,Intensity,DNA,0.14059041242777828,0.026873720373191565,0.002198384267941295,0.7754275000516875
Image,Intensity,ER,0.15536372728640863,0.03169017293255737,0.0034052492662296945,0.7730935658813798
Image,Intensity,Mito,0.09462288209035474,0.017733328322304724,0.004285630336788959,0.8626885319966411
Image,Intensity,RNA,0.2133653768617274,0.028054615392380904,0.00272803269678355,0.7300160635451776
Image,Texture,AGP,0.4096400723908184,0.034059108550609306,0.0018860073036354478,0.5332744869203803
Image,Texture,DNA,0.3521056251344673,0.04099910651607122,0.003941722566214096,0.5916075794297455
Image,Texture,ER,0.47589094277865096,0.03452897680185657,0.002130515084402271,0.4822694075048106
Image,Texture,Mito,0.33100921587626386,0.023107446275442388,0.0029130415959074452,0.6371022812564219
Image,Texture,RNA,0.46854731617979184,0.03693946199177195,0.0015966967261622181,0.49744728523675624
Nuclei,Correlation,AGP,0.2616159011249201,0.03190731160832211,0.002308289408239416,0.7083416352818258
Nuclei,Correlation,DNA,0.23981940207861618,0.05718960706040835,0.004885189711811825,0.7369862117797046
Nuclei,Correlation,ER,0.1993025903232286,0.0211044590662431,0.0031907259746648377,0.7529163612206259
Nuclei,Correlation,Mito,0.2615360795979518,0.01557941217094553,0.0035702552908716094,0.7118558818920229
Nuclei,Granularity,AGP,0.34195365137423983,0.0405688615237551,0.0011513396029118079,0.612832945918546
Nuclei,Granularity,DNA,0.36470316302564887,0.031166673526145917,0.001062716600414564,0.5996047853824007
Nuclei,Granularity,ER,0.30766503976553405,0.03025810603401913,0.002538206183158755,0.6650851328172516
Nuclei,Granularity,Mito,0.3075760791355192,0.03163326990267795,0.0015275245661182475,0.672420624310281
Nuclei,Granularity,RNA,0.3156822077792026,0.02629404562439285,0.002558515270578289,0.6559868530963555
Nuclei,Intensity,AGP,0.2802849302317631,0.03703860241485684,0.002482910396364292,0.6840796007273675
Nuclei,Intensity,DNA,0.302963196557833,0.04159383714686265,0.0018700953297443744,0.6525664841202939
Nuclei,Intensity,ER,0.28833742811471796,0.0466698614586339,0.0022643880567693323,0.6615705569606742
Nuclei,Intensity,Mito,0.3082247894975026,0.04729962269377642,0.0030643086889204627,0.6432043783828858
Nuclei,Intensity,RNA,0.2861550285603483,0.041283014404997063,0.0018054709049116948,0.6701366524038123
Nuclei,Location,AGP,0.06840679372706432,0.033840866371895,0.0003671657140314343,0.8334863203290901
Nuclei,Location,DNA,0.06828007429668677,0.033700319523112525,0.0003967566648531728,0.834305130001574
Nuclei,Location,ER,0.06823065950629151,0.03334552587107671,0.0003924410023013737,0.8338175303549822
Nuclei,Location,Mito,0.06764906253511033,0.03347345294871755,0.000418150436937942,0.8346702232559696
Nuclei,Location,RNA,0.06798514557328285,0.03325704801245599,0.0003773629062237727,0.8342070584751873
Nuclei,RadialDistribution,AGP,0.2892938438141183,0.036718685006932414,0.0013539373619917785,0.6795651487329715
Nuclei,RadialDistribution,DNA,0.31641440538352816,0.044972365639408804,0.000789219706090652,0.6377405999805505
Nuclei,RadialDistribution,ER,0.1964243249016564,0.039832705123818604,0.0012531483605588136,0.7573499126720422
Nuclei,RadialDistribution,Mito,0.31366393029935064,0.04008463529657648,0.0018078354545033866,0.6556079782763351
Nuclei,RadialDistribution,RNA,0.20682441111660982,0.039575203119743114,0.0014274659529768788,0.7448853579743546
Nuclei,Texture,AGP,0.2236230697823686,0.044346892058072865,0.00248179245382162,0.7203306806513059
Nuclei,Texture,DNA,0.34354161009120526,0.03895427600274001,0.006377412823902126,0.6087782926232914
Nuclei,Texture,ER,0.2050099760570253,0.05107836830980067,0.0013329840048015105,0.7434705901381806
Nuclei,Texture,Mito,0.3080431531709853,0.04807229197176681,0.0037462123256703475,0.6349684967517193
Nuclei,Texture,RNA,0.15852938649841813,0.050175268128197975,0.0011296149401233007,0.7926378826733715
