feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Cells_RadialDistribution_MeanFrac_mito_tubeness_1of20,0.2704710652606098,0.11531803215871758,0.046165391227019,0.5680455113536537,42874.56277755825,Cells,RadialDistribution,
Cells_RadialDistribution_FracAtD_mito_tubeness_17of20,0.09270455952003555,0.5812109388592123,0.05591950918677035,0.27016499243398184,11112.965066572218,Cells,RadialDistribution,
Cells_Texture_InverseDifferenceMoment_Mito_5_03_256,0.029910007039011574,0.7766618369834601,0.06142586271587827,0.13200229326165014,7294.264957442513,Cells,Texture,Mito
Cells_Intensity_MaxIntensityEdge_AGP,0.005476259220522574,0.9370726168902392,0.03368961784988201,0.02376150603935616,5043.801777837685,Cells,Intensity,AGP
Cytoplasm_Texture_InverseDifferenceMoment_DNA_5_02_256,0.001382337138252099,0.8678183547009788,0.09511083568346826,0.03568847247730079,13737.258794108235,Cytoplasm,Texture,DNA
Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.3122968363317711,0.33142456030241607,0.0226708852902025,0.3336077180756103,40937.393447533126,Nuclei,RadialDistribution,Mito
Cells_RadialDistribution_MeanFrac_mito_tubeness_12of20,0.0400627858846452,0.720395442352341,0.06208873172605854,0.17745304003695522,6494.7881618036445,Cells,RadialDistribution,
Cytoplasm_Texture_InfoMeas1_DNA_5_00_256,0.004208394263595222,0.9609849338129506,0.0048452999398844385,0.02996137198356979,4154.593713944113,Cytoplasm,Texture,DNA
Image_Texture_Entropy_RNA_3_03_256,0.1167466472757994,0.7638551232977396,0.012486446564647345,0.10691178286181367,6182.975704265649,Image,Texture,RNA
Image_Texture_Correlation_DNA_10_03_256,0.035286737211925656,0.8203362533483104,0.015919865869534824,0.12845714357022903,25346.196713193953,Image,Texture,DNA
Nuclei_Texture_Entropy_ER_10_00_256,0.005066201336959828,0.906084319474527,0.042519911504339654,0.046329567684173525,12757.958106490256,Nuclei,Texture,ER
Cells_Texture_SumAverage_DNA_5_03_256,0.0035214309089572934,0.956626298405054,0.02252941538067604,0.017322855305312686,35241.86495893035,Cells,Texture,DNA
Nuclei_Texture_Entropy_RNA_3_00_256,0.0034175948299701832,0.9185391020391613,0.03307554808191832,0.04496775504895008,12812.865940386288,Nuclei,Texture,RNA
Image_Texture_DifferenceVariance_RNA_3_01_256,0.006116568480250689,0.8053168277071924,0.16548348587652503,0.02308311793603195,157674.67275280046,Image,Texture,RNA
Nuclei_Granularity_16_AGP,0.07427212249403557,0.5533169992241386,0.005876953898858538,0.36653392438296734,10369.357485397528,Nuclei,Granularity,AGP
Nuclei_Intensity_IntegratedIntensityEdge_Mito,0.007988010779286242,0.9417504604477939,0.00810790511175782,0.042153623661161994,23010.415965485627,Nuclei,Intensity,Mito
Cytoplasm_Texture_InfoMeas2_RNA_3_00_256,0.030417866848474986,0.6216863920475864,0.21650642764178515,0.13138931346215357,48000.2186489809,Cytoplasm,Texture,RNA
Image_Texture_InfoMeas2_Mito_5_03_256,0.19741735399241656,0.5105538337629999,0.08220845727273919,0.2098203549718443,39214.10819540018,Image,Texture,Mito
Cytoplasm_Texture_DifferenceEntropy_ER_5_02_256,0.023031806155644763,0.8356279160427301,0.053976231554639736,0.08736404624698553,8903.215930793205,Cytoplasm,Texture,ER
Cytoplasm_Texture_InfoMeas2_RNA_5_02_256,0.02367198937389344,0.710130134160082,0.16493766674802743,0.10126020971799707,23337.79725089461,Cytoplasm,Texture,RNA
Image_Texture_AngularSecondMoment_AGP_10_03_256,0.2983595636104713,0.36195292206550106,0.01824348427817247,0.3214440300458552,30787.920450536956,Image,Texture,AGP
Nuclei_Texture_SumAverage_DNA_5_02_256,0.006021501626670612,0.9557595143428433,0.01981885581187883,0.018400128218607304,17752.95901992181,Nuclei,Texture,DNA
Cells_AreaShape_Zernike_7_1,0.06814843364387026,0.06829349777931354,0.010243824730716299,0.8533142438460999,34774.006983100684,Cells,AreaShape,
Image_Texture_Correlation_ER_10_02_256,0.13826104324764482,0.5794188206052462,0.01838467358980241,0.2639354625573065,10813.24713365082,Image,Texture,ER
Cells_RadialDistribution_MeanFrac_mito_tubeness_18of20,0.03974172203148873,0.7206902302223696,0.04929908699338869,0.19026896075275299,7597.996178524809,Cells,RadialDistribution,
Cytoplasm_Texture_Variance_RNA_5_03_256,0.031185647355751106,0.7537180835308246,0.003648823028242525,0.21144744608518176,73927.88922068969,Cytoplasm,Texture,RNA
Image_Texture_Correlation_RNA_3_01_256,0.0862943655402847,0.6282463111368477,0.04555142853891382,0.23990789478395377,12699.576665627903,Image,Texture,RNA
Cells_Texture_Entropy_RNA_3_00_256,0.007386953498916058,0.8942279302446081,0.03091768334135939,0.06746743291511648,13138.465751286134,Cells,Texture,RNA
Cytoplasm_AreaShape_Zernike_4_4,0.18317088543117246,0.19881291461343298,0.03156335985409207,0.5864528401013025,40511.97377281422,Cytoplasm,AreaShape,
Cells_Granularity_4_ER,0.22929555324661818,0.38909874184929216,0.009826712410358792,0.3717789924937308,39376.44602277095,Cells,Granularity,ER
Image_Texture_Entropy_DNA_5_02_256,0.014930888975547452,0.9508567458551764,0.004070333065826938,0.030142032103449266,25224.559938432754,Image,Texture,DNA
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_03_256,0.019289007813896832,0.8520428621373485,0.053368612864090295,0.07529951718466436,8130.793302968608,Cytoplasm,Texture,ER
Nuclei_AreaShape_Zernike_7_7,0.22631588145311646,0.29841816648816216,0.18039752798793585,0.29486842407078556,29227.19006501485,Nuclei,AreaShape,
Nuclei_Texture_SumEntropy_RNA_10_00_256,0.005189072503466244,0.9123516123247285,0.03538650198700373,0.04707281318480156,12476.482171753516,Nuclei,Texture,RNA
Image_Texture_SumEntropy_DNA_5_02_256,0.018291956397047615,0.9444769085043995,0.004172903277695091,0.0330582318208579,21335.658844077574,Image,Texture,DNA
Cytoplasm_Intensity_MedianIntensity_RNA,0.005547042014905453,0.9514292581441026,0.009353554585430317,0.033670145255561626,14672.843552422128,Cytoplasm,Intensity,RNA
Cells_Texture_InverseDifferenceMoment_Mito_10_00_256,0.02646549770718507,0.7734863502317703,0.06610795572018748,0.13394019634085721,7566.780744073973,Cells,Texture,Mito
Cells_Texture_Contrast_RNA_3_00_256,0.015263848599585982,0.8962367001466082,0.012989543133515928,0.07550990812028995,151130.8582563149,Cells,Texture,RNA
