target_gene,n_pseudobulk,median_log_expr_target_when_perturbed,median_log_expr_target_in_controls,log_fold_change_on_target,abs_log_fc,batch_drift_log_std,snr
BUB1,46,0.16025641560554504,1.2000000476837158,-1.0397436618804932,1.0397436618804932,0.33989669582796317,3.0589990271831113
TIMM9,22,0.0,0.8333333134651184,-0.8333333134651184,0.8333333134651184,0.19697207811390743,4.230717985232446
SMG5,1,0.0,0.25,-0.25,0.25,0.07420044164016712,3.3692521833275295
RPL3,48,34.65912628173828,43.45000076293945,-8.790874481201172,8.790874481201172,7.829884053888975,1.1227336727719344
PSTK,35,0.0,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.10528634139582006,1.8995816582546041
RNF8,11,0.0,0.8571428656578064,-0.8571428656578064,0.8571428656578064,0.1899512829261058,4.512435254208045
MED1,25,0.0,1.0,-1.0,1.0,0.24442714786508205,4.091198578940078
RPL10A,31,9.333333015441895,28.816665649414062,-19.483333587646484,19.483333587646484,4.677337111384976,4.1654755951249784
LIN54,26,0.0,0.1666666716337204,-0.1666666716337204,0.1666666716337204,0.07555180356891326,2.205991965257299
NUP98,46,0.3229166865348816,0.5,-0.1770833134651184,0.1770833134651184,0.15113871946414878,1.171660803353067
ANAPC15,47,0.8999999761581421,1.0,-0.10000002384185791,0.10000002384185791,0.2539615544883019,0.3937604809647051
RRM2,46,1.1124999523162842,1.399999976158142,-0.2875000238418579,0.2875000238418579,0.30035670510943313,0.9571952913024167
RPS20,26,5.449999809265137,13.071428298950195,-7.621428489685059,7.621428489685059,3.847656960377218,1.980797292526272
WTAP,12,0.18333333730697632,1.1428571939468384,-0.9595238566398621,0.9595238566398621,0.22037689797621024,4.354012899952167
CIAO1,27,0.1666666716337204,1.1428571939468384,-0.9761905074119568,0.9761905074119568,0.1916819298582409,5.092762307505471
POP7,21,0.1111111119389534,2.0,-1.8888888359069824,1.8888888359069824,0.4317653628245801,4.3748039989822205
MRPL2,9,0.0,1.0,-1.0,1.0,0.22678935199514688,4.409378091178634
MED10,47,0.1111111119389534,1.1666666269302368,-1.0555554628372192,1.0555554628372192,0.25295638134187415,4.172875407363695
TRA2B,23,0.375,2.200000047683716,-1.8250000476837158,1.8250000476837158,0.4426973290262458,4.122455519887536
PSMC4,20,0.5714285969734192,1.6666666269302368,-1.0952379703521729,1.0952379703521729,0.3252335938115666,3.3675425638432985
NAA38,43,0.8888888955116272,1.0,-0.1111111044883728,0.1111111044883728,0.29676335601520554,0.37440978556220295
CHORDC1,31,0.09090909361839294,1.125,-1.0340908765792847,1.0340908765792847,0.24919378948700213,4.149745781016836
PPP4C,13,0.2222222238779068,2.0,-1.7777777910232544,1.7777777910232544,0.3986705688667097,4.459265192504419
TUBGCP2,25,0.0,0.5,-0.5,0.5,0.1181466439276164,4.232028802327466
RPL5,20,14.871429443359375,39.20000076293945,-24.328571319580078,24.328571319580078,6.669086569997403,3.6479615407945665
RPL13,38,19.40909194946289,50.79999923706055,-31.390907287597656,31.390907287597656,8.528289768887001,3.680797456263541
KIF11,47,0.5833333134651184,1.0,-0.4166666865348816,0.4166666865348816,0.2539235365677397,1.640914001777565
ASF1B,34,0.0,0.4000000059604645,-0.4000000059604645,0.4000000059604645,0.14073672278598823,2.842186446026073
CNOT3,39,0.09090909361839294,0.4285714328289032,-0.33766233921051025,0.33766233921051025,0.11150462760383688,3.0282361052331006
WDR36,30,0.14835165441036224,1.0,-0.8516483306884766,0.8516483306884766,0.2858816029639696,2.979024609694147
RPL31,35,1.0,5.400000095367432,-4.400000095367432,4.400000095367432,0.9730928297298768,4.521665313872304
MED12,46,0.0,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.07717624965956851,2.5914708717053565
CKAP5,26,0.612500011920929,2.0,-1.3875000476837158,1.3875000476837158,0.44000340591539744,3.153384789822514
ELP5,16,0.0,0.4000000059604645,-0.4000000059604645,0.4000000059604645,0.12160683102048478,3.2892889536204106
TUBD1,17,0.0,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.08212888203463582,2.435196949300822
