column,dtype,n_unique,n_missing,sample_values
chr,category,29,0,"'chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20'"
start,int64,8561,0,"778747, 825138, 944203, 960584, 998962, 1001138, 1216908, 1232237, 1253909, 1292390, 1308597, 1311585, 1335276, 1352689, 1373730, 1385711, 1399520, 1401909, 1471765, 1512162"
end,int64,8559,0,"810065, 868202, 959309, 965719, 1000172, 1014540, 1232067, 1235041, 1273885, 1309609, 1311677, 1324691, 1349418, 1361777, 1375495, 1399335, 1402046, 1407293, 1497848, 1534685"
class,category,26,0,"'gene_version10', 'gene_version9', 'gene_version11', 'gene_version14', 'gene_version17', 'gene_version7', 'gene_version20', 'gene_version19', 'gene_version12', 'gene_version16', 'gene_version13', 'gen ..."
strand,category,2,0,"'+', '-'"
length,int64,8189,0,"31318, 43064, 15106, 5135, 1210, 13402, 15159, 2804, 19976, 17219, 3080, 13106, 14142, 9088, 1765, 13624, 2526, 5384, 26083, 22523"
in_matrix,bool,1,0,True
mean,float32,8449,0,"0.13759362697601318, 0.2567198872566223, 1.9751437902450562, 0.11959341168403625, 0.249577134847641, 0.37737324833869934, 1.0991413593292236, 0.31549206376075745, 1.002764344215393, 0.1460089832544326 ..."
std,float32,8563,0,"0.38004806637763977, 0.5201617479324341, 1.7078369855880737, 0.3537023365497589, 0.5619328618049622, 0.787623405456543, 1.1737947463989258, 0.6032172441482544, 1.1177308559417725, 0.3911243975162506,  ..."
cv,float32,8561,0,"2.7621052265167236, 2.02618408203125, 0.864664614200592, 2.957540273666382, 2.251539945602417, 2.087120294570923, 1.0679197311401367, 1.911988615989685, 1.1146495342254639, 2.67876935005188, 1.6938638 ..."
fano,float32,8552,0,"1.0497328042984009, 1.0539435148239136, 1.4767062664031982, 1.0460888147354126, 1.265214204788208, 1.6438647508621216, 1.2535185813903809, 1.1533445119857788, 1.2458782196044922, 1.0477321147918701, 1 ..."
ensembl_id,object,8563,0,"'ENSG00000237491', 'ENSG00000228794', 'ENSG00000188976', 'ENSG00000187961', 'ENSG00000188290', 'ENSG00000187608', 'ENSG00000078808', 'ENSG00000176022', 'ENSG00000160087', 'ENSG00000131584', 'ENSG00000 ..."
ncounts,float32,8449,0,"42707.0, 79682.0, 613055.0, 37120.0, 77465.0, 117131.0, 341157.0, 97924.0, 311243.0, 45319.0, 121755.0, 178351.0, 72618.0, 59060.0, 2178892.0, 242348.0, 109627.0, 1139264.0, 202142.0, 388762.0"
ncells,int64,8384,0,"39082, 68732, 248759, 34277, 62316, 89671, 194831, 79195, 184586, 41320, 95932, 128871, 62605, 51682, 304233, 158921, 88824, 286586, 135062, 200199"
